"","participant_no","acceptable","tran","poss","sentence_type_nor_code","sentence_code","rating","group"
"221",12,"unacceptable","mono","poss",2,"1b",4,"Norweigan"
"222",12,"acceptable","di","refl",3,"1c",4,"Norweigan"
"223",12,"acceptable","mono","refl",1,"2a",5,"Norweigan"
"224",12,"unacceptable","di","poss",3,"2d",1,"Norweigan"
"225",12,"unacceptable","mono","poss",2,"3b",4,"Norweigan"
"226",12,"acceptable","di","refl",3,"3c",2,"Norweigan"
"227",12,"acceptable","mono","refl",1,"4a",4,"Norweigan"
"228",12,"unacceptable","di","poss",3,"4d",3,"Norweigan"
"229",12,"unacceptable","mono","poss",2,"5b",3,"Norweigan"
"230",12,"acceptable","di","refl",3,"5c",5,"Norweigan"
"231",12,"acceptable","mono","refl",1,"6a",2,"Norweigan"
"232",12,"unacceptable","di","poss",3,"6d",4,"Norweigan"
"233",12,"unacceptable","mono","poss",2,"7b",3,"Norweigan"
"234",12,"acceptable","di","refl",3,"7c",3,"Norweigan"
"235",12,"acceptable","mono","refl",1,"8a",3,"Norweigan"
"236",12,"unacceptable","di","poss",3,"8d",2,"Norweigan"
"237",12,"unacceptable","mono","poss",2,"9b",3,"Norweigan"
"238",12,"acceptable","di","refl",3,"9c",3,"Norweigan"
"239",12,"acceptable","mono","refl",1,"10a",5,"Norweigan"
"240",12,"unacceptable","di","poss",3,"10d",2,"Norweigan"
"241",13,"unacceptable","mono","poss",2,"1b",4,"Norweigan"
"242",13,"acceptable","di","refl",3,"1c",2,"Norweigan"
"243",13,"acceptable","mono","refl",1,"2a",5,"Norweigan"
"244",13,"unacceptable","di","poss",3,"2d",3,"Norweigan"
"245",13,"unacceptable","mono","poss",2,"3b",4,"Norweigan"
"246",13,"acceptable","di","refl",3,"3c",4,"Norweigan"
"247",13,"acceptable","mono","refl",1,"4a",4,"Norweigan"
"248",13,"unacceptable","di","poss",3,"4d",5,"Norweigan"
"249",13,"unacceptable","mono","poss",2,"5b",5,"Norweigan"
"250",13,"acceptable","di","refl",3,"5c",5,"Norweigan"
"251",13,"acceptable","mono","refl",1,"6a",4,"Norweigan"
"252",13,"unacceptable","di","poss",3,"6d",4,"Norweigan"
"253",13,"unacceptable","mono","poss",2,"7b",5,"Norweigan"
"254",13,"acceptable","di","refl",3,"7c",5,"Norweigan"
"255",13,"acceptable","mono","refl",1,"8a",5,"Norweigan"
"256",13,"unacceptable","di","poss",3,"8d",3,"Norweigan"
"257",13,"unacceptable","mono","poss",2,"9b",4,"Norweigan"
"258",13,"acceptable","di","refl",3,"9c",1,"Norweigan"
"259",13,"acceptable","mono","refl",1,"10a",5,"Norweigan"
"260",14,"unacceptable","mono","poss",2,"1b",5,"Norweigan"
"261",14,"acceptable","di","refl",3,"1c",5,"Norweigan"
"262",14,"acceptable","mono","refl",1,"2a",5,"Norweigan"
"263",14,"unacceptable","di","poss",3,"2d",5,"Norweigan"
"264",14,"unacceptable","mono","poss",2,"3b",5,"Norweigan"
"265",14,"acceptable","di","refl",3,"3c",5,"Norweigan"
"266",14,"acceptable","mono","refl",1,"4a",5,"Norweigan"
"267",14,"unacceptable","di","poss",3,"4d",5,"Norweigan"
"268",14,"unacceptable","mono","poss",2,"5b",3,"Norweigan"
"269",14,"acceptable","di","refl",3,"5c",4,"Norweigan"
"270",14,"acceptable","mono","refl",1,"6a",5,"Norweigan"
"271",14,"unacceptable","di","poss",3,"6d",5,"Norweigan"
"272",14,"unacceptable","mono","poss",2,"7b",5,"Norweigan"
"273",14,"acceptable","di","refl",3,"7c",4,"Norweigan"
"274",14,"acceptable","mono","refl",1,"8a",3,"Norweigan"
"275",14,"unacceptable","di","poss",3,"8d",2,"Norweigan"
"276",14,"unacceptable","mono","poss",2,"9b",3,"Norweigan"
"277",14,"acceptable","di","refl",3,"9c",5,"Norweigan"
"278",14,"acceptable","mono","refl",1,"10a",4,"Norweigan"
"279",14,"unacceptable","di","poss",3,"10d",1,"Norweigan"
"280",15,"unacceptable","mono","poss",2,"1b",4,"Norweigan"
"281",15,"acceptable","di","refl",3,"1c",5,"Norweigan"
"282",15,"acceptable","mono","refl",1,"2a",4,"Norweigan"
"283",15,"unacceptable","di","poss",3,"2d",5,"Norweigan"
"284",15,"unacceptable","mono","poss",2,"3b",3,"Norweigan"
"285",15,"acceptable","di","refl",3,"3c",2,"Norweigan"
"286",15,"acceptable","mono","refl",1,"4a",4,"Norweigan"
"287",15,"unacceptable","di","poss",3,"4d",5,"Norweigan"
"288",15,"unacceptable","mono","poss",2,"5b",4,"Norweigan"
"289",15,"acceptable","di","refl",3,"5c",3,"Norweigan"
"290",15,"acceptable","mono","refl",1,"6a",4,"Norweigan"
"291",15,"unacceptable","di","poss",3,"6d",3,"Norweigan"
"292",15,"unacceptable","mono","poss",2,"7b",5,"Norweigan"
"293",15,"acceptable","di","refl",3,"7c",2,"Norweigan"
"294",15,"acceptable","mono","refl",1,"8a",2,"Norweigan"
"295",15,"unacceptable","di","poss",3,"8d",5,"Norweigan"
"296",15,"unacceptable","mono","poss",2,"9b",3,"Norweigan"
"297",15,"acceptable","di","refl",3,"9c",1,"Norweigan"
"298",15,"acceptable","mono","refl",1,"10a",2,"Norweigan"
"299",15,"unacceptable","di","poss",3,"10d",4,"Norweigan"
