"","participant_no","acceptable","tran","poss","sentence_type_pol_code","sentence_code","rating","group"
"88",8,"acceptable","mono","refl",1,"6a",5,"Polish"
"89",8,"unacceptable","di","poss",4,"6d",5,"Polish"
"90",9,"unacceptable","mono","poss",2,"1b",2,"Polish"
"91",9,"acceptable","di","refl",3,"1c",5,"Polish"
"92",9,"acceptable","mono","refl",1,"2a",5,"Polish"
"93",9,"unacceptable","di","poss",4,"2d",3,"Polish"
"94",9,"unacceptable","mono","poss",2,"3b",3,"Polish"
"95",9,"acceptable","di","refl",3,"3c",5,"Polish"
"96",9,"acceptable","mono","refl",1,"4a",4,"Polish"
"97",9,"unacceptable","di","poss",4,"4d",1,"Polish"
"98",9,"unacceptable","mono","poss",2,"5b",3,"Polish"
"99",9,"acceptable","di","refl",3,"5c",5,"Polish"
"100",9,"acceptable","mono","refl",1,"6a",5,"Polish"
"101",9,"unacceptable","di","poss",4,"6d",3,"Polish"
