"","probability","condition","step","language"
"1",0.098,"acceptable_mono_refl",1,"Nor"
"2",0.088,"acceptable_mono_refl",2,"Nor"
"3",0.125,"acceptable_mono_refl",3,"Nor"
"4",0.247,"acceptable_mono_refl",4,"Nor"
"5",0.442,"acceptable_mono_refl",5,"Nor"
"11",0.113,"acceptable_di_refl",1,"Nor"
"21",0.099,"acceptable_di_refl",2,"Nor"
"31",0.135,"acceptable_di_refl",3,"Nor"
"41",0.251,"acceptable_di_refl",4,"Nor"
"51",0.402,"acceptable_di_refl",5,"Nor"
"12",0.149,"unacceptable_mono_poss",1,"Nor"
"22",0.121,"unacceptable_mono_poss",2,"Nor"
"32",0.153,"unacceptable_mono_poss",3,"Nor"
"42",0.249,"unacceptable_mono_poss",4,"Nor"
"52",0.328,"unacceptable_mono_poss",5,"Nor"
"13",0.221,"unacceptable_di_poss",1,"Nor"
"23",0.153,"unacceptable_di_poss",2,"Nor"
"33",0.168,"unacceptable_di_poss",3,"Nor"
"43",0.226,"unacceptable_di_poss",4,"Nor"
"53",0.232,"unacceptable_di_poss",5,"Nor"
